,dassco0024,Top,dassco0215,Side,dassco0063,dassco0056,dassco0218,total
32,0 days 00:00:00.089944,0 days 00:00:00.095979,0 days 00:00:00.119664,0 days 00:00:00.119702,0 days 00:00:00.119575,0 days 00:00:00.119501,0 days 00:00:00.023586,0 days 00:00:00.120010
33,0 days 00:00:00.088466,0 days 00:00:00.114739,0 days 00:00:00.114777,0 days 00:00:00.114598,0 days 00:00:00.114811,0 days 00:00:00.114518,0 days 00:00:00.114699,0 days 00:00:00.115108
34,0 days 00:00:00.137048,0 days 00:00:00.090032,0 days 00:00:00.115148,0 days 00:00:00.089930,0 days 00:00:00.115073,0 days 00:00:00.089855,0 days 00:00:00.023696,0 days 00:00:00.138080
35,0 days 00:00:00.068139,0 days 00:00:00.115588,0 days 00:00:00.093109,0 days 00:00:00.115669,0 days 00:00:00.093184,0 days 00:00:00.093364,0 days 00:00:00.023545,0 days 00:00:00.119890
36,0 days 00:00:00.068971,0 days 00:00:00.098387,0 days 00:00:00.121524,0 days 00:00:00.121415,0 days 00:00:00.098645,0 days 00:00:00.143713,0 days 00:00:00.023975,0 days 00:00:00.144786
37,0 days 00:00:00.071313,0 days 00:00:00.094095,0 days 00:00:00.137401,0 days 00:00:00.093983,0 days 00:00:00.137469,0 days 00:00:00.093858,0 days 00:00:00.024227,0 days 00:00:00.139444
38,0 days 00:00:00.090963,0 days 00:00:00.114376,0 days 00:00:00.136963,0 days 00:00:00.091205,0 days 00:00:00.114295,0 days 00:00:00.091252,0 days 00:00:00.024869,0 days 00:00:00.140590
39,0 days 00:00:00.070303,0 days 00:00:00.119693,0 days 00:00:00.097498,0 days 00:00:00.097225,0 days 00:00:00.119770,0 days 00:00:00.119533,0 days 00:00:00.024222,0 days 00:00:00.120638
40,0 days 00:00:00.090420,0 days 00:00:00.090547,0 days 00:00:00.090631,0 days 00:00:00.090592,0 days 00:00:00.137350,0 days 00:00:00.137429,0 days 00:00:00.024288,0 days 00:00:00.139630
41,0 days 00:00:00.092885,0 days 00:00:00.118330,0 days 00:00:00.118281,0 days 00:00:00.141249,0 days 00:00:00.115766,0 days 00:00:00.093385,0 days 00:00:00.025095,0 days 00:00:00.141514
42,0 days 00:00:00.114141,0 days 00:00:00.113870,0 days 00:00:00.114336,0 days 00:00:00.137336,0 days 00:00:00.090889,0 days 00:00:00.114470,0 days 00:00:00.023813,0 days 00:00:00.139230
43,0 days 00:00:00.113708,0 days 00:00:00.090521,0 days 00:00:00.113834,0 days 00:00:00.113790,0 days 00:00:00.138308,0 days 00:00:00.090344,0 days 00:00:00.024116,0 days 00:00:00.140415
