,dassco0063,Top,dassco0215,Side,dassco0024,dassco0056,dassco0218,total
32,0 days 00:00:01.560126,0 days 00:00:01.628780,0 days 00:00:01.606421,0 days 00:00:01.672032,0 days 00:00:01.628706,0 days 00:00:01.716177,0 days 00:00:01.850239,0 days 00:00:01.850287
33,0 days 00:00:01.550030,0 days 00:00:01.619115,0 days 00:00:01.575326,0 days 00:00:01.663157,0 days 00:00:01.685540,0 days 00:00:01.685739,0 days 00:00:01.821496,0 days 00:00:01.823424
34,0 days 00:00:01.602160,0 days 00:00:01.694142,0 days 00:00:01.624447,0 days 00:00:01.669704,0 days 00:00:01.764417,0 days 00:00:01.669851,0 days 00:00:01.895537,0 days 00:00:01.896419
35,0 days 00:00:01.636977,0 days 00:00:01.724411,0 days 00:00:01.681035,0 days 00:00:01.724486,0 days 00:00:01.746875,0 days 00:00:01.792998,0 days 00:00:01.971956,0 days 00:00:01.972448
36,0 days 00:00:01.603152,0 days 00:00:01.646660,0 days 00:00:01.579947,0 days 00:00:01.669127,0 days 00:00:01.646746,0 days 00:00:01.669058,0 days 00:00:01.890302,0 days 00:00:01.890537
37,0 days 00:00:01.574267,0 days 00:00:01.641363,0 days 00:00:01.597744,0 days 00:00:01.663450,0 days 00:00:01.641536,0 days 00:00:01.685947,0 days 00:00:01.820397,0 days 00:00:01.821945
38,0 days 00:00:01.531186,0 days 00:00:01.597831,0 days 00:00:01.553749,0 days 00:00:01.688614,0 days 00:00:01.641933,0 days 00:00:01.664177,0 days 00:00:01.844158,0 days 00:00:01.844778
39,0 days 00:00:01.579750,0 days 00:00:01.602043,0 days 00:00:01.579829,0 days 00:00:01.645934,0 days 00:00:01.690233,0 days 00:00:01.714340,0 days 00:00:01.868729,0 days 00:00:01.868930
40,0 days 00:00:01.577148,0 days 00:00:01.643436,0 days 00:00:01.600031,0 days 00:00:01.686619,0 days 00:00:01.686669,0 days 00:00:01.664391,0 days 00:00:01.797805,0 days 00:00:01.799504
41,0 days 00:00:01.578958,0 days 00:00:01.647194,0 days 00:00:01.690743,0 days 00:00:01.690835,0 days 00:00:01.625090,0 days 00:00:01.624914,0 days 00:00:01.824433,0 days 00:00:01.824572
42,0 days 00:00:01.601378,0 days 00:00:01.691169,0 days 00:00:01.625254,0 days 00:00:01.691014,0 days 00:00:01.647692,0 days 00:00:01.758204,0 days 00:00:01.867989,0 days 00:00:01.868137
43,0 days 00:00:01.584439,0 days 00:00:01.628640,0 days 00:00:01.561840,0 days 00:00:01.651033,0 days 00:00:01.606517,0 days 00:00:01.651094,0 days 00:00:01.809520,0 days 00:00:01.810315
44,0 days 00:00:01.668075,0 days 00:00:01.692389,0 days 00:00:01.715533,0 days 00:00:01.739014,0 days 00:00:01.738848,0 days 00:00:01.692557,0 days 00:00:01.901452,0 days 00:00:01.902203
45,0 days 00:00:01.620854,0 days 00:00:01.647733,0 days 00:00:01.645618,0 days 00:00:01.719578,0 days 00:00:01.719533,0 days 00:00:01.719456,0 days 00:00:01.882079,0 days 00:00:01.882306
46,0 days 00:00:01.702732,0 days 00:00:01.702839,0 days 00:00:01.656250,0 days 00:00:01.702796,0 days 00:00:01.679706,0 days 00:00:01.632697,0 days 00:00:01.866130,0 days 00:00:01.867807
47,0 days 00:00:01.698068,0 days 00:00:01.697977,0 days 00:00:01.697899,0 days 00:00:01.771991,0 days 00:00:01.698025,0 days 00:00:01.795262,0 days 00:00:01.936179,0 days 00:00:01.936735
48,0 days 00:00:01.637297,0 days 00:00:01.685042,0 days 00:00:01.661856,0 days 00:00:01.731806,0 days 00:00:01.637207,0 days 00:00:01.708332,0 days 00:00:01.846427,0 days 00:00:01.848085
49,0 days 00:00:01.600540,0 days 00:00:01.647988,0 days 00:00:01.600432,0 days 00:00:01.647810,0 days 00:00:01.694745,0 days 00:00:01.671255,0 days 00:00:01.858042,0 days 00:00:01.860266
50,0 days 00:00:01.648530,0 days 00:00:01.719105,0 days 00:00:01.648769,0 days 00:00:01.742540,0 days 00:00:01.695885,0 days 00:00:01.765625,0 days 00:00:01.863389,0 days 00:00:01.864344
51,0 days 00:00:01.620098,0 days 00:00:01.620227,0 days 00:00:01.620182,0 days 00:00:01.711570,0 days 00:00:01.711809,0 days 00:00:01.735619,0 days 00:00:01.829301,0 days 00:00:01.829393
52,0 days 00:00:01.689887,0 days 00:00:01.714847,0 days 00:00:01.665495,0 days 00:00:01.738496,0 days 00:00:01.714920,0 days 00:00:01.689817,0 days 00:00:01.879114,0 days 00:00:01.879162
53,0 days 00:00:01.610036,0 days 00:00:01.658515,0 days 00:00:01.635285,0 days 00:00:01.704238,0 days 00:00:01.681089,0 days 00:00:01.704307,0 days 00:00:01.872200,0 days 00:00:01.872330
54,0 days 00:00:01.642356,0 days 00:00:01.715347,0 days 00:00:01.613455,0 days 00:00:01.667227,0 days 00:00:01.690491,0 days 00:00:01.763398,0 days 00:00:01.857270,0 days 00:00:01.857486
55,0 days 00:00:01.592688,0 days 00:00:01.643332,0 days 00:00:01.619832,0 days 00:00:01.666326,0 days 00:00:01.643395,0 days 00:00:01.666622,0 days 00:00:01.737291,0 days 00:00:01.737480
56,0 days 00:00:01.625053,0 days 00:00:01.695517,0 days 00:00:01.649669,0 days 00:00:01.741289,0 days 00:00:01.786185,0 days 00:00:01.624869,0 days 00:00:01.857201,0 days 00:00:01.857243
57,0 days 00:00:01.633522,0 days 00:00:01.704773,0 days 00:00:01.659381,0 days 00:00:01.727942,0 days 00:00:01.659303,0 days 00:00:01.773921,0 days 00:00:01.827244,0 days 00:00:01.828112
58,0 days 00:00:01.596346,0 days 00:00:01.619534,0 days 00:00:01.572434,0 days 00:00:01.642573,0 days 00:00:01.693125,0 days 00:00:01.693197,0 days 00:00:01.742472,0 days 00:00:01.743028
59,0 days 00:00:01.671125,0 days 00:00:01.719156,0 days 00:00:01.671043,0 days 00:00:01.742477,0 days 00:00:01.765446,0 days 00:00:01.671180,0 days 00:00:01.859083,0 days 00:00:01.859860
60,0 days 00:00:01.640439,0 days 00:00:01.664390,0 days 00:00:01.664208,0 days 00:00:01.710527,0 days 00:00:01.733716,0 days 00:00:01.804650,0 days 00:00:01.850794,0 days 00:00:01.850818
61,0 days 00:00:01.593794,0 days 00:00:01.664037,0 days 00:00:01.640802,0 days 00:00:01.640895,0 days 00:00:01.617720,0 days 00:00:01.617789,0 days 00:00:01.830798,0 days 00:00:01.830936
62,0 days 00:00:01.662914,0 days 00:00:01.687162,0 days 00:00:01.613524,0 days 00:00:01.687231,0 days 00:00:01.613381,0 days 00:00:01.782903,0 days 00:00:01.807071,0 days 00:00:01.807194
63,0 days 00:00:01.631687,0 days 00:00:01.725284,0 days 00:00:01.655625,0 days 00:00:01.775568,0 days 00:00:01.655547,0 days 00:00:01.678974,0 days 00:00:01.822424,0 days 00:00:01.822634
